URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
B0_259,29,6,us-ascii,Microsoft-HTTPAPI/2.0,324,None,None,2/07/1998 0:00,5/07/2016 0:00,34,9,6,2861,38,26,15260,3229,38,4.0,0
B0_2111,47,9,ISO-8859-1,LiteSpeed,1148,US,GA,19/09/2002 0:00,4/09/2016 0:00,11,3,7,810,11,12,730,810,11,0.0,0
B0_95,49,10,iso-8859-1,Apache,236,US,UT,16/05/1995 0:00,21/10/2016 0:00,21,7,2,2681,27,26,21979,3159,27,6.0,0
B0_2258,48,11,utf-8,nginx/1.8.1,NA,US,NY,18/10/1994 0:00,6/10/2016 0:00,8,7,6,684,8,11,696,684,8,0.0,0
M4_57,146,28,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,2,124,0,0,0.0,1
B0_799,54,11,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,9208,AU,NSW,29/09/2000 0:00,18/11/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_798,45,10,UTF-8,ATS,6560,CA,ON,29/11/2000 0:00,21/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_154,42,11,UTF-8,nginx,673,None,None,None,None,18,1,4,2185,24,21,2969,2637,24,6.0,1
B0_2124,34,6,utf-8,None,NA,None,None,22/02/1996 0:00,16/01/2015 0:00,34,9,9,2412,34,7,442,2412,34,0.0,0
B0_925,106,22,UTF-8,nginx/1.8.0,6298,US,CA,13/01/1996 0:00,11/12/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1109,48,9,ISO-8859-1,cloudflare-nginx,NA,US,Texas,2/09/2003 0:00,18/09/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_975,50,9,us-ascii,Microsoft-HTTPAPI/2.0,324,US,NJ,27/02/1998 5:00,17/12/2012 21:45,0,0,0,0,0,0,0,0,0,0.0,0
B0_332,28,7,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,12846,US,NC,9/05/2000 17:31,11/10/2016 0:20,17,12,3,2314,23,27,21419,2740,23,6.0,0
B0_570,33,8,UTF-8,Apache/2.2.31 (Amazon),1371,IL,None,28/04/2003 0:00,29/04/2017 0:00,19,0,3,2042,27,27,4760,2622,27,8.0,0
M4_4,100,20,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,1,0,1,66,1,3,190,66,1,0.0,1
B0_305,36,7,utf-8,Apache,19879,US,CA,4/04/2006 0:00,3/03/2017 0:00,61,7,6,6100,65,79,123896,6388,65,4.0,0
B0_2099,169,25,utf-8,cloudflare-nginx,NA,BS,New Providence,20/12/2008 0:00,11/12/2015 0:00,6,3,4,552,6,9,564,552,6,0.0,0
B0_656,24,6,UTF-8,Apache,756,PA,PANAMA,2/07/1998 0:00,6/02/2017 0:00,23,3,15,2485,27,28,9332,2799,27,4.0,0
M0_41,54,11,iso-8859-1,Apache,228,US,Arizona,16/02/2005 0:00,24/02/2016 0:00,5,0,2,582,9,9,1097,882,9,4.0,1
B0_737,38,9,UTF-8,None,NA,None,None,None,None,288,279,10,20749,294,431,1058608,21187,294,6.0,0
B0_1198,39,7,UTF-8,GSE,7472,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_987,75,15,ISO-8859-1,cloudflare-nginx,NA,US,FL,16/05/2000 0:00,17/03/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_913,47,9,utf-8,Apache,44446,CA,ON,9/12/2003 0:00,22/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1336,53,11,utf-8,nginx/1.10.1,NA,None,None,None,None,0,0,0,0,0,0,0,0,0,0.0,0
B0_358,58,9,us-ascii,None,324,US,CO,15/08/1995 0:00,13/07/2016 0:00,14,0,1,1794,18,18,2242,2102,18,4.0,0
M4_2,100,20,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,1,0,1,66,1,3,190,66,1,0.0,1
B0_1130,23,6,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434,PA,PANAMA,8/12/2006 0:00,14/12/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_23,23,6,None,None,NA,US,TX,30/07/1996 0:00,4/07/2016 0:00,19,7,6,2404,23,20,6179,2684,23,4.0,0
B0_3,63,12,UTF-8,Apache,NA,None,None,None,None,48,0,1,3840,52,51,52729,4156,52,4.0,0
M0_91,39,10,iso-8859-1,nginx/1.8.0,216,None,None,18/07/2005 0:00,18/06/2016 0:00,8,0,1,809,12,11,1321,1101,12,4.0,1
B0_2235,73,11,UTF-8,Apache/2.4.18 (Ubuntu),12487,US,Illinois,2/08/2000 0:00,26/04/2017 0:00,22,11,12,1524,22,19,1268,1524,22,0.0,0
B0_300,97,19,UTF-8,Apache,7778,None,None,None,None,19,3,4,1948,23,26,12186,2280,23,4.0,0
B0_118,81,18,iso-8859-1,Apache/2.2.15 (CentOS),213,US,OK,7/07/1999 0:00,24/05/2016 0:00,11,6,1,2088,15,15,7459,2388,15,4.0,0
B0_80,76,12,us-ascii,Microsoft-HTTPAPI/2.0,324,None,None,2/10/2007 0:00,20/07/2014 0:00,26,19,4,3635,32,30,23404,4125,32,6.0,0
B0_1348,57,10,UTF-8,Server,NA,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_757,63,14,iso-8859-1,Apache/2.0.52 (Red Hat),320,None,None,None,None,188,25,9,14064,194,217,298694,14522,194,6.0,0
B0_2034,40,7,UTF-8,GSE,9433,US,CA,31/07/2000 0:00,29/06/2016 0:00,3,3,1,366,3,5,306,366,3,0.0,0
B0_2164,79,15,UTF-8,Apache,NA,US,Arizona,17/08/2010 0:00,17/08/2016 0:00,6,3,4,564,6,8,504,564,6,0.0,0
B0_56,56,12,ISO-8859-1,nginx,1523,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,35,11,3,6351,43,46,22390,6989,43,8.0,0
B0_2272,77,14,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,16/06/2014 0:00,31/07/2016 0:00,6,3,4,564,6,7,442,564,6,0.0,0
B0_2005,47,9,UTF-8,Apache,17647,None,None,26/01/2001 0:00,26/03/2017 0:00,9,7,5,750,9,10,744,750,9,0.0,0
B0_86,57,7,UTF-8,Apache/2.2.31 (Amazon),1182,None,None,29/07/2004 0:00,3/01/2016 0:00,10,3,5,949,14,15,2597,1309,14,4.0,0
B0_129,80,12,UTF-8,GSE,38149,US,CA,31/07/2000 0:00,29/06/2016 0:00,41,0,5,3333,45,43,42229,3715,45,4.0,0
B0_146,42,9,UTF-8,Apache,7509,None,None,16/08/1999 0:00,17/08/2013 0:00,7,0,2,985,13,12,1496,1433,13,6.0,0
B0_1027,51,10,ISO-8859-1,DOSarrest,NA,KY,GRAND CAYMAN,4/01/2007 0:00,7/12/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1247,53,8,utf-8,None,11158,US,PA,7/08/1995 0:00,27/03/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_608,45,9,UTF-8,Apache,23771,US,MA,8/11/1993 0:00,12/10/2015 0:00,19,0,2,1801,23,25,26643,2097,23,4.0,0
B0_724,45,10,UTF-8,mw2233.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,33,29,2,5852,42,39,37285,6460,42,8.0,0
B0_863,40,9,utf-8,nginx + Phusion Passenger,NA,US,FL,3/06/2000 0:00,5/05/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1217,49,10,UTF-8,Apache,19361,CH,ZH,19/02/1997 0:00,15/12/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_854,39,8,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_910,41,9,ISO-8859-1,nginx,NA,FR,None,22/07/2005 18:52,21/07/2016 18:54,0,0,0,0,0,0,0,0,0,0.0,0
B0_1231,61,12,UTF-8,Apache/2.2.15 (Red Hat),39198,None,None,16/10/2000 0:00,25/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_478,54,9,us-ascii,Microsoft-HTTPAPI/2.0,324,None,None,19/02/2005 0:00,20/02/2017 0:00,34,2,5,5325,40,44,86136,5785,40,6.0,0
B0_1161,39,8,iso-8859-1,Apache,404,US,WV,21/10/2006 0:00,22/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2316,52,11,UTF-8,cloudflare-nginx,NA,None,None,None,None,3,3,1,366,3,4,244,366,3,0.0,0
B0_1314,46,8,iso-8859-1,None,21,US,VA,13/09/1996 4:00,16/07/2016 7:42,0,0,0,0,0,0,0,0,0,0.0,0
B0_2035,60,10,utf-8,Cowboy,21666,US,CA,15/04/2010 0:00,11/04/2017 0:00,9,7,7,762,9,10,640,762,9,0.0,0
B0_932,57,13,UTF-8,mw2198.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0,0,0.0,0
B0_214,101,20,utf-8,Microsoft-IIS/8.5,4678,US,DE,26/06/2007 0:00,24/04/2017 0:00,32,9,6,3327,38,32,10505,3769,38,6.0,0
B0_250,57,10,ISO-8859-1,None,NA,US,CA,29/03/1997 0:00,29/11/2016 0:00,63,58,6,8280,75,65,23559,9168,75,12.0,0
B0_614,23,6,iso-8859-1,Apache,240,US,CA,17/05/2008 0:00,18/05/2016 0:00,8,0,2,723,10,11,1837,871,10,2.0,0
B0_157,61,11,ISO-8859-1,Apache/2.4.10 (Ubuntu),11780,US,WA,20/01/1998 0:00,6/03/2017 0:00,20,1,5,1930,28,24,8029,2610,28,8.0,0
B0_1125,26,6,utf-8,nginx,2688,US,Kentucky,11/01/1997 0:00,30/04/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1339,55,12,utf-8,ATS,NA,US,CA,18/01/1995 0:00,26/08/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_556,53,12,ISO-8859-1,Apache,359174,CA,ON,1/12/1996 5:00,30/11/2016 10:30,15,4,3,2232,19,22,3283,2532,19,4.0,0
M0_180,34,9,iso-8859-1,Apache,214,None,None,None,None,9,0,4,850,11,14,1382,990,11,2.0,1
B0_168,71,13,UTF-8,GSE,11988,US,CA,31/07/2000 0:00,29/06/2016 0:00,73,3,5,7802,79,82,105565,8302,79,6.0,0
B0_2069,48,9,us-ascii,Microsoft-HTTPAPI/2.0,324,KR,None,14/08/2000 0:00,6/07/2016 0:00,7,7,3,618,7,9,562,618,7,0.0,0
B0_926,47,9,ISO-8859-1,None,675,US,California,28/11/1999 0:00,9/09/2013 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_705,31,6,UTF-8,Apache,NA,US,MD,30/12/2005 0:00,5/11/2015 0:00,13,8,8,1355,16,16,1145,1519,16,2.0,0
M4_44,135,27,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,2,124,0,0,0.0,1
M0_131,36,11,UTF-8,nginx,655,None,None,None,None,17,1,7,1770,23,17,2579,2210,23,6.0,1
M2_17,20,5,utf-8,nginx/1.10.1,NA,None,None,8/11/2014 7:41,None,0,0,0,0,2,3,213,146,2,2.0,1
B0_1292,103,17,utf-8,Apache/2.2.10 (Linux/SUSE),NA,BE,None,16/01/2001 0:00,7/04/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_877,112,19,ISO-8859-1,nginx,162,us,California,10/09/1998 0:00,17/02/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_306,46,10,ISO-8859-1,nginx,1510,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,20,2,6,3089,24,24,7088,3391,24,4.0,0
M0_99,48,14,UTF-8,Apache,NA,CZ,PRAHA,7/10/2006 0:00,7/03/2017 0:00,48,0,1,3450,50,51,66124,3602,50,2.0,1
B0_406,45,10,iso-8859-1,Apache/2.4.25 (FreeBSD) OpenSSL/1.0.1s-freebsd PHP/5.6.30,217,None,None,None,None,28,2,5,3409,30,19,18392,3565,30,2.0,0
B0_998,47,11,ISO-8859-1,None,1819,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_103,58,12,UTF-8,Apache,NA,CZ,PRAHA,7/10/2006 0:00,7/03/2017 0:00,50,0,1,3592,52,53,66100,3744,52,2.0,1
B0_1088,50,9,utf-8,Apache,43996,CA,ON,9/12/2003 0:00,22/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1077,69,14,UTF-8,GSE,3933,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_957,68,12,UTF-8,Server,NA,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_497,63,11,ISO-8859-1,Apache,3475,US,OH,20/03/2002 0:00,18/02/2017 0:00,31,5,6,2293,33,24,17664,2459,33,2.0,0
B0_969,66,15,ISO-8859-1,Apache,36571,None,None,2/10/2001 13:00,15/09/2014 7:40,0,0,0,0,0,0,0,0,0,0.0,0
B0_181,52,11,UTF-8,Apache,8105,CH,ZH,19/02/1997 0:00,15/12/2015 0:00,13,0,3,1428,17,11,1504,1712,17,4.0,0
B0_138,39,8,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,61,52,4,7271,71,68,60586,8017,71,10.0,0
B0_2246,69,11,UTF-8,Apache-Coyote/1.1,NA,US,California,8/04/2000 0:00,31/01/2013 0:00,3,3,1,366,3,4,244,366,3,0.0,0
B0_2284,39,10,UTF-8,cloudflare-nginx,NA,None,None,None,None,3,3,1,366,3,4,244,366,3,0.0,0
B0_1334,73,15,iso-8859-1,Apache/2.0.52 (Red Hat),330,US,CA,3/09/1996 4:00,30/09/2009 2:59,0,0,0,0,0,0,0,0,0,0.0,0
B0_1222,32,8,UTF-8,Server,NA,US,WA,5/01/1996 0:00,5/05/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1282,72,12,us-ascii,Microsoft-HTTPAPI/2.0,1853,US,NY,31/10/1997 0:00,30/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_779,59,12,ISO-8859-1,nginx,1511,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2317,49,9,ISO-8859-1,Apache,128,US,MA,6/11/2001 1:42,11/03/2017 15:28,5,4,3,474,5,8,490,474,5,0.0,0
B0_692,71,11,utf-8,ATS,NA,US,CA,18/01/1995 0:00,26/08/2015 0:00,26,21,4,4488,35,35,14140,5084,35,8.0,0
B0_1230,44,9,UTF-8,nginx,NA,US,NY,16/09/1996 4:00,5/04/2017 13:36,0,0,0,0,0,0,0,0,0,0.0,0
B0_1057,70,15,us-ascii,Microsoft-HTTPAPI/2.0,324,None,None,None,None,0,0,0,0,0,0,0,0,0,0.0,0
B0_783,33,6,ISO-8859-1,Apache,NA,US,CA,22/04/1997 0:00,22/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_360,38,8,us-ascii,Microsoft-HTTPAPI/2.0,324,US,UT,26/05/1997 0:00,23/04/2017 0:00,23,7,7,1967,29,24,6542,2417,29,6.0,0
B0_1081,59,11,UTF-8,Server,NA,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1082,73,13,iso-8859-1,Apache/2.2.15 (CentOS),NA,US,UT,16/05/1995 0:00,21/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_119,60,11,iso-8859-1,Apache,198,HK,None,1/09/2016 0:00,2/09/2016 0:00,3,1,2,238,5,7,654,394,5,2.0,0
B0_1069,87,17,UTF-8,nginx,NA,US,California,8/05/2001 0:00,19/04/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_479,51,11,UTF-8,None,NA,US,WA,1/06/2001 0:00,17/05/2016 0:00,28,16,12,3227,32,31,12120,3507,32,4.0,0
B0_480,39,6,ISO-8859-1,nginx/1.10.0 (Ubuntu),NA,LV,RIX,19/07/2010 0:00,20/07/2016 0:00,71,67,7,7582,79,73,82537,8282,79,8.0,0
M4_5,100,20,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,1,0,1,66,1,3,190,66,1,0.0,1
B0_1034,110,21,UTF-8,Apache,42290,None,None,22/05/2009 0:00,7/05/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2131,53,10,UTF-8,nginx/1.11.10,NA,CA,Quebec,21/05/1997 0:00,26/07/2016 0:00,7,6,2,798,7,8,492,798,7,0.0,0
B0_1037,47,9,ISO-8859-1,cloudflare-nginx,NA,US,Texas,2/09/2003 0:00,18/09/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_153,47,10,UTF-8,None,NA,US,WA,1/06/2001 0:00,17/05/2016 0:00,32,28,3,4948,40,35,19634,5516,40,8.0,0
B0_1148,35,8,UTF-8,mw2232.codfw.wmnet,4685,US,CA,13/01/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0,0,0.0,0
B0_345,39,7,ISO-8859-1,cloudflare-nginx,NA,None,None,2/08/2010 0:00,4/05/2016 0:00,28,6,13,2721,30,29,15626,2879,30,2.0,0
B0_1090,49,9,ISO-8859-1,Apache,959,US,New York,3/07/2000 17:33,4/07/2016 14:14,0,0,0,0,0,0,0,0,0,0.0,0
M0_80,53,12,ISO-8859-1,nginx/1.12.0,242,US,ALABAMA,9/02/2007 0:00,9/02/2017 0:00,8,0,1,1156,10,10,2638,1316,10,2.0,1
B0_633,44,9,iso-8859-1,barista/5.1.3,16525,US,CA,9/01/1998 0:00,4/01/2017 0:00,10,0,5,1197,14,15,1424,1503,14,4.0,0
B0_1149,54,12,ISO-8859-1,Apache/2.2.27 (Unix) OpenAM Web Agent/4.0.1-1 mod_ssl/2.2.27 OpenSSL/1.0.1p PHP/5.3.28,2503,None,None,None,None,0,0,0,0,0,0,0,0,0,0.0,0
B0_513,67,14,UTF-8,mw2177.codfw.wmnet,4710,US,CA,13/01/2001 0:12,12/12/2015 10:16,59,43,15,7723,67,60,37516,8331,67,8.0,0
B0_226,44,8,ISO-8859-1,Microsoft-IIS/7.5,11,US,WA,13/09/2000 0:00,29/08/2016 0:00,40,6,5,4203,42,42,47931,4365,42,2.0,0
B0_546,57,13,UTF-8,cloudflare-nginx,NA,US,NY,13/11/2003 0:00,12/01/2017 0:00,42,7,12,3944,48,40,23329,4404,48,6.0,0
B0_1120,113,18,UTF-8,Apache,39517,US,MA,23/03/1999 0:00,19/03/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1411,45,11,UTF-8,mw2192.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0,0,0.0,0
B0_2170,101,16,utf-8,Microsoft-IIS/8.5,NA,CA,ON,23/12/1995 0:00,8/02/2017 0:00,5,2,3,474,5,3,184,474,5,0.0,0
B0_1065,39,9,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2248,73,11,UTF-8,GSE,3674,US,CA,31/07/2000 0:00,29/06/2016 0:00,3,3,1,366,3,5,306,366,3,0.0,0
B0_602,46,8,UTF-8,cloudflare-nginx,NA,PH,None,8/07/2000 0:00,5/03/2016 0:00,12,0,3,1716,16,17,11285,2012,16,4.0,0
B0_1097,44,8,ISO-8859-1,nginx,NA,US,WA,8/04/1996 0:00,18/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_613,104,20,UTF-8,None,NA,US,IL,8/12/2016 0:00,15/02/2017 0:00,14,3,11,1260,18,17,1646,1576,18,4.0,0
B0_348,30,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,NJ,30/12/1999 0:00,8/01/2016 0:00,90,6,14,8646,92,100,95659,8808,92,2.0,0
B0_749,57,10,us-ascii,Microsoft-HTTPAPI/2.0,324,None,None,None,None,62,0,3,4725,66,65,97272,5023,66,4.0,0
M0_82,46,12,ISO-8859-1,nginx/1.12.0,221,US,CALIFORNIA,6/10/2005 0:00,6/10/2016 0:00,7,0,2,742,9,10,1263,890,9,2.0,1
B0_1201,46,9,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,231,None,None,22/09/2009 0:00,23/04/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1310,47,11,UTF-8,cloudflare-nginx,NA,US,AL,15/12/2010 0:00,27/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_242,43,9,utf-8,Varnish,389,US,CA,16/07/1999 0:00,29/03/2013 0:00,83,2,3,6008,87,107,147266,6312,87,4.0,0
B0_381,47,9,utf-8,ATS,NA,US,CA,22/11/2003 0:00,1/05/2014 0:00,55,45,5,6240,63,64,69305,6824,63,8.0,0
B0_289,44,9,utf-8,Apache,44446,CA,ON,9/12/2003 0:00,22/10/2016 0:00,157,2,5,11053,159,176,284743,11211,159,2.0,0
B0_473,56,9,ISO-8859-1,Apache/1.3.42 Ben-SSL/1.60 (Unix) mod_gzip/1.3.26.1a mod_fastcgi/2.4.6 mod_throttle/3.1.2 Chili!Soft-ASP/3.6.2 FrontPage/5.0.2.2635 mod_perl/1.31 PHP/4.4.9,NA,CA,Quebec,4/02/2003 0:00,6/02/2017 0:00,15,2,5,1944,21,21,2698,2416,21,6.0,0
M4_29,122,22,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,2,124,0,0,0.0,1
B0_1181,32,6,ISO-8859-1,None,34,US,Missouri,9/07/2008 0:00,14/07/2008 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_392,39,9,ISO-8859-1,nginx,1500,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,40,11,12,6028,46,46,20061,6502,46,6.0,0
B0_42,88,15,UTF-8,Pizza/pepperoni,13776,US,WA,16/11/1994 0:00,28/10/2015 0:00,20,2,8,2133,24,26,17337,2437,24,4.0,0
B0_30,41,7,iso-8859-1,Apache,281,US,PA,9/03/2010 0:00,18/01/2013 0:00,18,0,3,1868,22,23,18348,2202,22,4.0,0
B0_7,63,10,UTF-8,Apache,18235,US,WA,10/10/2006 0:00,7/03/2017 0:00,4,1,2,583,6,8,737,735,6,2.0,0
B0_2313,24,6,utf-8,Pepyaka/1.11.3,NA,None,None,27/04/2016 0:00,29/04/2017 0:00,6,3,2,528,6,4,244,528,6,0.0,0
B0_789,50,9,us-ascii,Microsoft-IIS/7.5,324,US,California,26/09/2003 0:00,17/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2194,43,9,UTF-8,mw2101.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,9,5,6,750,9,8,502,750,9,0.0,0
B0_340,86,13,ISO-8859-1,Roxen/5.4.98-r2,13747,US,IL,3/05/2004 0:00,4/05/2016 0:00,20,0,2,2487,26,18,2587,2979,26,6.0,0
B0_1183,95,14,utf-8,Microsoft-IIS/8.5,6783,GB,London,2/12/1997 0:00,16/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_207,71,12,UTF-8,Apache,13522,US,CA,18/01/1996 5:00,20/01/2017 1:26,30,20,10,3317,36,35,8700,3747,36,6.0,0
B0_545,69,11,utf-8,nginx,NA,US,Illinois,19/04/2006 0:00,29/07/2013 0:00,19,0,4,1878,25,23,18769,2358,25,6.0,0
